steam_id_hash,inventory_public,item_count_unique,item_count_total,marketable_count,total_usd,max_item_usd,items_priced
ef59377be8ac0346,True,31,31,25,0.4,0.19,7
35873c07871f095a,True,145,156,121,230.07999999999998,26.91,112
3d22d5abd98b25c2,True,9,9,0,0.0,0.0,0
30e5d334fdb8a7c4,True,87,110,90,35.769999999999996,8.54,13
15786a13fdba9943,True,91,141,130,268.39,18.93,26
2ba5b21b461885b5,True,35,36,24,139.76000000000002,130.9,6
427b787922775795,True,20,23,16,35.720000000000006,6.87,7
be0910d999f2b261,True,80,621,601,3.6100000000000003,1.33,11
063b2443e7002c2c,True,19,27,26,7.390000000000001,6.87,10
b131ceb8cba8e1cc,True,124,141,127,19.88,7.18,25
514dadce62a47566,True,19,19,0,0.0,0.0,0
7d49a5499071f3be,True,71,75,59,50.14,17.54,55
77f754fed7cd9324,True,61,70,62,741.61,161.66,53
f825ef006a029151,True,157,182,165,2.56,0.3,44
7d36a6fa1442a126,True,111,118,100,1953.8799999999999,1099.83,93
5718e71ac51d0950,True,161,188,148,79.57,28.54,121
641b27b701d67e65,True,49,50,38,1.8900000000000001,0.92,14
1f2fa9f846f1d13d,True,86,131,104,171.20999999999998,64.07,59
1029ca61b1ccbbdf,True,36,67,49,163.47,6.87,7
06451a0f313c0a20,True,6,7,4,0.0,0.0,0
a09c89303c8b97cc,True,28,28,20,3.4599999999999995,2.34,6
2b3d2873337c2edf,True,130,164,138,143.84,6.87,30
194095b3dacf1424,True,277,327,292,36.089999999999996,3.39,74
6e5f6dfcf60fb9bb,True,269,338,300,21.13,17.84,23
0764a5d49395ab8e,True,195,212,192,86.33,78.39,48
ce6c76b1d74d1e17,True,123,124,111,4.79,0.97,33
86d2d18cf58e6311,True,98,102,61,21.21,17.84,11
e7de50d8d5126e6c,True,109,125,84,53.7,42.0,12
c67cbc564e61ace2,True,44,44,20,282.15,116.53,20
142f12b0a51506ea,True,307,849,808,20.82,7.18,13
7c9ddf916e0aca03,True,113,200,187,3.9499999999999997,0.09,32
837aeada73724d32,True,140,177,142,37.9,2.34,27
42a469b0c0a12c19,True,17,19,12,1.94,0.97,1
00e88f4f34ea8ca9,True,73,77,59,1.24,0.28,18
6a9b8bde34fc3964,True,68,72,55,1.43,0.41,21
95e354cb565ea453,True,43,44,25,1.82,0.65,9
f184a7ecc33f81e0,True,4,4,4,0.15,0.04,4
22d6efdf391e67aa,True,85,91,57,2.47,0.8,11
d757058b674af76d,True,69,81,66,1.48,0.92,6
e6f83b4c712a37c3,True,197,231,210,28.669999999999998,7.45,26
45e0de5d31f2d499,True,169,179,100,10.45,7.18,33
eacf4eb4ea6044ca,True,74,77,60,7.6899999999999995,2.67,20
ca2ebc623be83206,True,16,17,9,0.44,0.2,4
3216a01d4598178d,True,1,1,0,0.0,0.0,0
151e47748afbd370,True,90,91,73,6.66,1.95,20
d04b33ff224339d9,True,106,125,103,8.28,2.67,21
ff0a1e7d16371059,True,39,39,21,1.25,0.65,7
27a207db54e4a141,True,81,88,61,7.629999999999999,6.72,8
8fff39ac92ec5356,True,46,46,32,15.84,6.72,32
62d716917b93f7b6,True,49,49,22,1.13,0.3,7
9c9c23fd645d3f08,True,49,52,36,43.63,7.84,33
cbbc0ecefa33ec42,True,58,59,45,8.85,7.18,17
7a2d6b8301a1ea32,True,6,6,2,0.0,0.0,0
197d1dd4bc7bc456,True,38,90,80,288.0,18.93,16
ddc965ba9832615b,True,215,264,236,19.06,3.39,33
5af4dd6e022efef1,True,221,358,334,102.47,3.39,108
0ffedda66360710f,True,43,43,15,2.8099999999999996,2.34,4
4aa3e4c8d9078b4d,True,17,17,1,0.03,0.03,1
78f997091729da33,True,139,145,118,129.94,78.39,16
7e136cabb45da3ff,True,128,148,127,13.13,2.34,28
13d81c7e4edba738,True,63,72,64,59.970000000000006,53.7,15
4b1d1494e65e15bb,True,8,9,8,19.91,6.87,4
0113142e7e9e57b0,True,49,53,39,0.71,0.51,2
b84218f27eaa47e7,True,70,82,67,4.2299999999999995,0.53,34
64f8b6b9283a36b8,True,67,81,65,9.96,7.45,13
5ac87b993ef6eb3d,True,139,180,171,38.78,2.67,52
8fe6b7fcbda0c1c9,True,110,124,108,11.8,7.18,13
e1af848b24e3b404,True,124,186,131,3.95,2.47,10
0f799388120f7a54,True,127,164,150,148.17000000000002,18.93,31
686dc07b53f062fa,True,3,3,2,0.03,0.03,1
68687701c89e80df,True,19,20,11,0.68,0.65,2
2c3648ab694cbf38,True,48,55,40,7.88,7.18,11
e147f35550f5e36f,True,104,205,181,0.9099999999999999,0.43,6
b3a1072c4a8fb1c9,True,186,204,194,4.61,0.76,44
4aea141d331a19a8,True,23,23,2,0.08,0.04,2
26a9fa1c4911d5fb,True,54,54,47,0.82,0.18,14
42dfa9be094a580c,True,26,28,19,22.95,5.78,10
192d58842ad51c29,True,39,40,26,6.449999999999999,2.34,6
4108d4591fed6e67,True,82,84,69,1.35,0.92,8
f25e9058a928e504,True,29,29,11,0.53,0.32,6
d6465c323240b7a3,True,204,229,216,3.51,0.53,43
17bebd63e50ca928,True,23,23,9,0.31000000000000005,0.16,3
3de41e705a0defd4,True,457,611,579,349.81,85.47,43
61bd12ebc72785cd,True,22,22,19,0.76,0.26,6
f7cc271db2557a64,True,130,151,140,19.61,2.34,45
3b5e1b9c92ddca64,True,37,37,23,37.36,5.52,23
e0357b88af4ec376,True,46,48,35,0.76,0.16,13
0b52e15c73d7f1e8,True,28,28,11,0.0,0.0,0
6b70b7f24582f61f,True,21,21,7,0.0,0.0,0
28dc80eb5ca58c4d,True,25,25,3,0.0,0.0,0
fdbfbfbb99ed3366,True,160,169,147,22.54,8.63,26
9c62e5e91d025181,True,106,129,105,3.0100000000000002,1.33,23
9a238bb5eb6e67ba,True,14,14,0,0.0,0.0,0
d8f6eb6be9a405c0,True,85,144,109,51.91,2.67,23
6f83626432d7a553,True,59,62,46,0.54,0.08,11
845734045e091aff,True,73,76,64,39.82,35.1,7
5e5c9a5df7f46ce4,True,20,25,15,0.21,0.03,4
01c76f7c8b03e37c,True,120,133,98,46.46,25.0,22
641d265d4f8a65d0,True,25,25,19,4.85,3.39,10
fd92cbb09bf580ed,True,106,120,101,0.6,0.05,13
6f469801fe0ca5b7,True,28,30,18,8.0,3.39,7
2f51a7d4fba1fc56,True,22,25,11,0.16999999999999998,0.11,3
b135823fc81c10dc,True,10,10,0,0.0,0.0,0
9a432d331aa97fca,True,76,81,58,5.71,5.2,11
3b4cd153821a2812,True,106,122,88,47.51,20.21,23
8edfad809fc45ab5,True,1,1,0,0.0,0.0,0
9629f76dff3574ca,True,68,130,85,48.43,7.45,9
fcb5dd2d8261d786,True,5,5,1,2.5,2.5,1
fc1882efe399abef,True,48,73,57,9.040000000000001,6.07,6
42c838519725bfbc,True,35,35,27,1.54,1.34,3
f0ac8b101f4b8803,True,46,46,26,3.61,2.34,10
177e26faa6bc2705,True,75,80,68,9.8,2.34,15
03a11efffd4432b5,True,72,74,38,7.319999999999999,2.34,13
e77e458fbb067e85,True,44,55,43,12.83,2.34,18
d478cfc0b59afd75,True,43,44,30,0.98,0.3,15
90e6cc91f738f8d3,True,67,71,57,0.79,0.11,15
8d82108afc4dba0d,True,487,785,750,352.16,42.0,113
33a961830fdb0a42,True,191,277,227,2.4,0.3,27
dd88e4c3eadf458b,True,80,94,81,9.64,2.34,36
74e36e2b5727fb11,True,95,95,45,12.21,5.78,8
3ce56a606a19db0c,True,22,22,16,1.27,1.04,5
cabe3d42ffd6b4d6,True,64,64,2,2.3699999999999997,2.34,2
0b98dbb03a4c07cb,True,82,225,207,2.8700000000000006,0.53,5
447bb984a9fc1859,True,197,289,270,136.49,20.21,55
ff35e97acdbaee24,True,37,40,37,48.4,18.93,16
be06c6ecc124cd10,True,81,81,34,0.29,0.11,5
19b8c5341581a290,True,57,62,46,27.09,18.42,11
8ad55cb43f081d34,True,28,29,17,7.7,7.18,8
bcc5e9cd9bff525b,True,34,36,21,13.41,7.18,6
d762b2beca7056e4,True,51,53,38,38.12,19.9,11
cb3a306c7375fff8,True,110,122,104,10.55,2.34,31
03bb56b8b0de5df7,True,19,19,10,0.18,0.04,5
55e375c3764619ec,True,11,16,15,99.41,18.93,4
1f0ba65636797774,True,60,61,30,0.33,0.12,7
80959c1f2c2fef39,True,50,59,43,12.66,2.34,15
7fc2d8a7489a316c,True,71,118,91,55.87,3.39,23
d7463e91facc002f,True,27,29,22,6.0,2.5,10
f5456b65f6b336b2,True,20,20,11,1.21,0.65,3
f05df0ac967689a3,True,37,40,32,1.53,1.04,11
771b276a5cc02f0b,True,3,3,1,0.0,0.0,0
647c396ee3bcb2f2,True,16,16,3,1.34,1.34,1
353d8e876ea51c20,True,8,8,3,23.9,18.93,3
66b97e701b7f6bee,True,56,60,37,10.11,7.45,12
fdd1df8222b936a7,True,221,264,226,13.62,2.34,27
d9fe66ba5c7fe721,True,27,38,35,72.81,18.93,14
a6200e2660436d22,True,74,77,63,19.65,7.13,18
ffc3123c9611f402,True,141,194,172,19.96,4.9,19
1fe9f53824c5f65c,True,79,79,64,24.58,19.9,11
18dad8eb4bb5c89c,True,99,128,104,1.1500000000000001,0.53,6
399e04b24904583b,True,15,16,12,26.55,18.93,5
533503d65cb1a316,True,43,58,46,99.74,18.93,13
e27e5e4418f5a22b,True,35,37,22,0.53,0.53,1
c685625e5ad8155f,True,11,11,4,1.04,1.04,1
73570326ed1ee778,True,11,11,4,1.49,1.04,3
8396168751732b37,True,111,133,111,1.97,0.14,35
12daaf0143f9d381,True,141,152,134,9.45,5.55,23
d08037e2fb6fec00,True,74,89,76,24.709999999999997,2.67,17
4b553085307840c4,True,4,4,3,2.57,2.5,3
5b1c8edd07a77fb4,True,35,36,17,8.15,3.75,6
148dc81715659bdb,True,50,53,36,3.48,0.97,18
08c797a3961d79b6,True,109,121,111,6.2700000000000005,1.04,29
57fcf4e4432124d9,True,58,77,70,0.87,0.13,13
cc27f344ce169867,True,80,87,74,7.0600000000000005,0.97,29
4ca8ed4c4aa4219c,True,78,88,77,20.22,7.18,26
50e246fa90f2c332,True,28,50,45,73.0,18.93,8
332ca19045492974,True,209,608,578,7.8,0.41,39
f1931bf7f18b0a50,True,39,41,32,27.24,19.9,12
0de73b80fd5e06e1,True,48,49,24,29.61,26.91,5
a04b12c4049abb85,True,171,216,193,38.27,25.0,26
9e01de04e5083cf3,True,208,537,514,4.89,0.53,25
4f82e389cb91cb45,True,123,143,129,8.12,2.34,29
b46d6bb3d0a77d27,True,50,50,33,5.03,2.34,10
124062d2fa9d579a,True,68,80,65,75.46,25.0,23
fbf23043ccb8a187,True,23,25,14,3.56,3.39,4
d047bb91157a5545,True,20,28,24,26.52,18.93,8
3df36fe24494846c,True,50,52,39,0.4,0.08,9
381baeebbaf5ec7e,True,48,51,19,3.4099999999999997,2.34,5
461d88dfb7ebdbba,True,34,35,23,9.7,6.72,7
810964c8ef58d42d,True,8,8,2,0.05,0.05,1
0be8af594161805a,True,28,28,18,1.1,0.41,4
92dd56cc4ca4ae72,True,33,34,27,3.58,2.34,11
bf36802755247e0f,True,34,46,43,37.769999999999996,5.01,11
8c46e99a577d2183,True,42,44,26,0.32,0.04,9
1847c7e478a39e79,True,65,65,41,53.7,53.7,1
0e584888a9d18a11,True,69,72,54,0.98,0.41,10
edcf5a0c3e70d533,True,177,210,195,2.2,0.29,34
c84994941b0a83ee,True,15,15,2,0.03,0.03,1
b9df29c0e7c73242,True,32,32,13,0.8099999999999999,0.43,7
da63849e5ec75754,True,60,65,51,8.34,2.34,9
eab0f0a71cd9b19d,True,19,19,7,0.28,0.17,2
42d935e10fc35a06,True,18,28,28,32.87,18.93,8
39edd89f7caf7a2a,True,32,35,29,21.07,6.87,8
2a46b33e79746b61,True,9,89,89,11.73,1.2,2
e570c009920a53f9,True,57,70,63,1.32,0.28,16
281a776ea84cf110,True,13,13,0,0.0,0.0,0
ac3314096f5f4a57,True,16,16,5,0.41,0.41,1
bb97f596aff2b0af,True,174,318,297,23.46,3.39,26
98e31ff0ffca189c,True,16,16,5,1.42,0.97,3
60856ca610fa3dc5,True,47,53,36,8.959999999999999,6.72,7
2c3d934ebcc08435,True,135,337,317,19.740000000000002,11.97,22
fea24bccd2b94f77,True,65,115,93,8.75,4.9,17
55a14b8b8685c50e,True,32,94,86,73.16999999999999,2.34,11
747218cd3302997a,True,59,87,77,1.13,0.53,9
3a73288e170e403b,True,30,31,25,6.29,2.34,11
cb3584b95b63a2fe,True,42,42,31,0.44,0.07,11
b3910c3def9db977,True,37,52,41,17.48,2.34,7
d088be8e4cbb98dd,True,170,311,294,27.24,11.97,38
ed5b1a3c4dda8c26,True,73,90,75,19.72,3.39,21
0c55f9a389d76c46,True,19,19,14,1.04,0.53,4
a7898e0686ca1146,True,26,28,17,3.59,2.34,7
c1bf83f1b219a2fb,True,26,26,17,38.11,25.0,5
8e19955bce003c5c,True,16,24,22,8.280000000000001,1.04,11
a3637dd7add62cf4,True,38,38,20,3.5900000000000003,2.99,4
43fee211fee88af8,True,73,86,76,16.63,2.34,14
39a6b6d43b6120d8,True,28,33,28,8.02,2.34,10
ba8fe3673a38b94a,True,47,54,45,4.2700000000000005,0.97,17
a9e5814371036bb5,True,11,11,9,0.97,0.53,3
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
